donation_id,donor_id,donation_amount,donation_date,campaign_type,payment_method
T10303,D0065,212.91,2024-03-07,Animal Welfare,UPI
T11524,D0171,143.06,2024-04-23,Education,UPI
T11408,D0010,186.07,2024-01-21,Animal Welfare,UPI
T10632,D0092,153.36,2023-04-20,Education,Credit Card
T11590,D0126,245.81,2024-04-28,Education,Debit Card
T11856,D0019,291.33,2023-02-03,Health,Debit Card
T10031,D0059,47.39,2024-11-29,Animal Welfare,Debit Card
T11109,D0236,43.42,2023-12-06,Education,UPI
T10723,D0228,280.28,2024-05-15,Health,UPI
T11264,D0185,12.34,2024-07-27,Animal Welfare,Debit Card
T10937,D0097,501.38,2024-03-28,Health,Net Banking
T11086,D0194,200.08,2023-02-11,Environment,Debit Card
T10477,D0108,171.42,2024-08-08,Environment,UPI
T10250,D0278,79.76,2023-02-06,Animal Welfare,UPI
T10562,D0079,39.32,2024-04-10,Animal Welfare,Debit Card
T10311,D0034,26.34,2023-05-10,Disaster Relief,Debit Card
T10885,D0006,49.34,2023-09-29,Health,Credit Card
T10471,D0129,710.51,2023-07-21,Animal Welfare,Debit Card
T10262,D0038,40.18,2024-03-28,,Debit Card
T11869,D0034,268.91,2023-11-09,Education,
T11637,D0229,43.07,2023-01-20,Environment,Credit Card
T10219,D0169,388.39,2024-02-26,Environment,Debit Card
T11884,D0155,44.89,2024-05-31,Disaster Relief,
T11095,D0048,48.85,2023-12-24,Health,Credit Card
T10781,D0188,166.49,2024-07-13,Health,Net Banking
T11967,D0285,99.96,2024-11-04,Environment,UPI
T10318,D0131,44.02,2024-01-19,Health,Net Banking
T11517,D0048,466.62,2024-03-30,Animal Welfare,UPI
T10373,D0259,239.77,2024-10-23,Health,UPI
T11406,D0105,381.8,2024-07-13,Animal Welfare,Debit Card
T10795,D0086,421.34,2024-01-16,Health,Debit Card
T11289,D0269,26.37,2024-10-17,Animal Welfare,Debit Card
T10897,D0081,463.32,2023-02-24,Education,Debit Card
T10079,D0068,34.63,2023-12-24,Education,Credit Card
T10505,D0071,45.49,2024-12-31,Disaster Relief,Net Banking
T11420,D0178,86.01,2024-12-01,Disaster Relief,Debit Card
T10744,D0048,62.85,2024-02-17,Animal Welfare,Debit Card
T10657,D0163,100.22,2024-01-05,Education,UPI
T10246,D0008,121.79,2023-05-28,Environment,Credit Card
T11192,D0296,94.89,2024-06-19,Education,UPI
T10169,D0143,188.76,2024-04-06,Health,Net Banking
T11928,D0095,215.63,2024-10-07,Environment,Credit Card
T10960,D0153,27.29,2024-12-01,Education,Net Banking
T10049,D0035,50.88,2023-02-02,Disaster Relief,UPI
T10473,D0258,453.54,2024-10-18,Health,Credit Card
T10369,D0237,24.38,2024-08-17,Animal Welfare,UPI
T11532,D0139,261.86,2023-05-25,Disaster Relief,Credit Card
T11704,D0045,125.79,2024-02-26,Animal Welfare,Net Banking
T10390,D0173,941.4,2024-09-24,Health,Net Banking
T11250,D0096,328.45,2024-07-15,Disaster Relief,Credit Card
T10977,D0242,20.56,2023-07-19,Animal Welfare,UPI
T10954,D0115,118.52,2023-09-16,Animal Welfare,Debit Card
T11507,D0290,162.54,2024-11-25,Disaster Relief,UPI
T10944,D0189,56.24,2024-04-20,Animal Welfare,Net Banking
T10522,D0245,710.74,2024-06-22,Environment,Debit Card
T11191,D0132,184.54,2023-07-13,Education,UPI
T10159,D0160,270.55,2024-08-12,Environment,Net Banking
T10335,D0160,18.32,2023-11-29,Animal Welfare,UPI
T11146,D0279,329.33,2024-07-06,Environment,Credit Card
T11165,D0109,350.71,2023-06-03,Health,Credit Card
T11248,D0108,517.28,2024-01-24,Animal Welfare,UPI
T10068,D0161,25.5,2023-02-28,Education,Net Banking
T10831,D0209,130.46,2023-05-04,Animal Welfare,Debit Card
T10304,D0033,268.99,2024-05-02,Environment,Debit Card
T11447,D0167,374.17,2024-04-13,Health,Net Banking
T10483,D0161,207.53,2023-11-23,Disaster Relief,
T10698,D0035,43.53,2023-11-04,Education,UPI
T11196,D0134,736.04,2024-07-02,Environment,Debit Card
T10428,D0022,96.44,2023-11-20,Disaster Relief,Net Banking
T10765,D0154,178.74,2023-05-21,Environment,Credit Card
T11130,D0149,267.05,2024-11-18,Education,Debit Card
T10397,D0196,122.07,2024-05-29,Animal Welfare,Net Banking
T11699,D0017,169.49,2024-12-09,Animal Welfare,UPI
T10883,D0122,31.99,2023-12-22,Disaster Relief,Credit Card
T10382,D0180,208.28,2023-11-14,Environment,Credit Card
T11177,D0074,32.63,2024-08-19,Health,Debit Card
T10359,D0053,181.36,2023-05-30,Disaster Relief,Credit Card
T11098,D0288,312.45,2024-10-26,Education,UPI
T11477,D0076,297.34,2023-02-26,Disaster Relief,UPI
T11839,D0102,60.88,2023-12-13,Health,Net Banking
T11491,D0270,103.44,2024-08-11,Animal Welfare,Debit Card
T10528,D0287,21.61,2023-10-08,Disaster Relief,UPI
T10713,D0069,116.15,2023-11-17,Education,Credit Card
T11230,D0135,459.05,2023-09-12,Disaster Relief,UPI
T10174,D0285,217.22,2023-01-11,Animal Welfare,Credit Card
T11012,D0121,586.69,2023-01-03,Education,UPI
T11893,D0211,55.64,2023-11-23,Education,
T11233,D0182,16.33,2023-08-12,Animal Welfare,Debit Card
T11107,D0054,293.96,2023-07-30,Animal Welfare,Net Banking
T10819,D0054,91.65,2023-07-30,Animal Welfare,Credit Card
T10632,D0092,153.36,2023-04-20,Education,Credit Card
T11555,D0089,57.66,2024-11-09,Education,Net Banking
T10069,D0258,876.83,2024-06-27,,UPI
T11492,D0067,61.57,2024-09-21,Animal Welfare,Net Banking
T11588,D0041,121.79,2023-05-26,Animal Welfare,Debit Card
T11275,D0228,32.17,2024-01-07,Animal Welfare,Net Banking
T11442,D0095,233.32,2024-02-01,Environment,Net Banking
T11663,D0033,147.42,2023-04-19,Education,Net Banking
T11384,D0258,223.85,2024-12-15,Health,Credit Card
T11350,D0026,413.53,2024-01-11,Health,UPI
T11007,D0145,388.35,2023-04-27,Education,Net Banking
T11187,D0118,24.05,2024-05-08,Environment,Debit Card
T11648,D0284,314.68,2023-02-10,Environment,Credit Card
T11960,D0174,35.19,2024-04-24,Health,UPI
T11535,D0015,36.0,2024-04-27,Education,UPI
T11459,D0202,225.11,2024-02-28,Disaster Relief,Net Banking
T11683,D0107,355.74,2023-10-11,Education,
T10487,D0050,75.97,2023-02-21,Disaster Relief,Net Banking
T10662,D0284,196.17,2023-04-06,Animal Welfare,Debit Card
T10740,D0065,134.23,2024-12-19,Health,Credit Card
T10933,D0011,159.18,2023-12-12,Disaster Relief,Debit Card
T11654,D0256,28.34,2024-06-30,Environment,UPI
T11472,D0279,431.59,2023-01-06,Animal Welfare,Net Banking
T10615,D0105,517.34,2024-01-15,Disaster Relief,Net Banking
T10685,D0299,172.73,2024-02-15,Animal Welfare,Net Banking
T11776,D0140,243.04,2024-02-29,Health,Net Banking
T11673,D0042,337.9,2023-01-07,Education,Credit Card
T11106,D0034,110.92,2023-08-04,Health,Net Banking
T11878,D0255,80.64,2024-10-12,Education,Credit Card
T11251,D0138,141.37,2024-04-27,Animal Welfare,Debit Card
T10422,D0035,29.13,2023-12-20,Health,UPI
T11321,D0130,44.76,2024-05-07,Disaster Relief,Credit Card
T10644,D0162,35.51,2023-01-17,Health,Credit Card
T10205,D0120,11.85,2023-09-28,Animal Welfare,Credit Card
T11212,D0100,45.74,2023-02-04,Animal Welfare,Credit Card
T10001,D0115,612.02,2023-05-23,Education,UPI
T11638,D0001,988.13,2023-02-08,Environment,Debit Card
T10612,D0145,207.72,2024-01-25,Environment,Debit Card
T10570,D0047,154.31,2024-06-06,Environment,UPI
T11074,D0029,890.0,2023-07-24,Disaster Relief,Credit Card
T11411,D0028,33.74,2024-04-21,Education,UPI
T11956,D0003,215.76,2023-09-17,Animal Welfare,Net Banking
T10506,D0266,493.66,2024-04-12,Health,Credit Card
T11551,D0123,194.07,2024-09-27,Health,Credit Card
T11022,D0048,526.45,2024-01-17,Disaster Relief,Credit Card
T10123,D0126,33.32,2024-05-01,Animal Welfare,UPI
T10589,D0025,42.95,2023-09-08,Education,Net Banking
T10451,D0288,173.47,2023-05-01,Disaster Relief,Debit Card
T10207,D0077,227.83,2023-09-30,Health,UPI
T11707,D0127,58.68,2023-12-02,Environment,Credit Card
T11342,D0123,415.4,2023-11-25,Education,Net Banking
T10045,D0265,227.25,2024-04-07,Education,Credit Card
T11277,D0065,873.44,2023-08-29,Disaster Relief,UPI
T10259,D0119,30.45,2024-04-17,Disaster Relief,Net Banking
T11865,D0175,564.16,2024-01-25,Education,Net Banking
T10706,D0143,87.83,2024-12-21,Education,UPI
T11508,D0107,197.25,2024-08-14,Disaster Relief,Debit Card
T11608,D0060,63.24,2023-02-23,Health,Net Banking
T11019,D0060,16.91,2023-04-08,Education,UPI
T10341,D0250,138.29,2024-06-23,Disaster Relief,UPI
T11607,D0296,332.24,2023-12-20,Education,Debit Card
T10816,D0004,188.94,2024-02-24,Education,Credit Card
T10997,D0068,39.43,2023-08-05,Education,Credit Card
T11314,D0201,130.41,2023-03-15,Animal Welfare,Net Banking
T10987,D0197,124.12,2023-01-05,Education,Credit Card
T11099,D0178,96.2,2024-04-01,Health,Credit Card
T11572,D0163,277.02,2024-12-29,Environment,Net Banking
T10827,D0168,95.22,2023-11-22,Environment,Debit Card
T11376,D0292,127.87,2023-08-11,Education,Debit Card
T10497,D0207,26.18,2024-01-10,Education,Net Banking
T11303,D0212,165.87,2023-07-12,Education,Credit Card
T10525,D0099,136.48,2023-09-10,Disaster Relief,Debit Card
T10973,D0182,58.4,2023-08-17,Disaster Relief,Net Banking
T11255,D0293,122.53,2023-05-15,Animal Welfare,Credit Card
T11711,D0051,22.66,2024-04-08,Environment,Credit Card
T10458,D0261,21.59,2023-08-18,Education,Credit Card
T11617,D0237,226.85,2024-11-22,Health,Credit Card
T10423,D0298,146.41,2023-12-07,Health,UPI
T10005,D0113,43.92,2024-04-04,Animal Welfare,Debit Card
T10295,D0011,157.73,2023-02-21,Disaster Relief,Credit Card
T11985,D0167,26.81,2024-08-05,Health,Credit Card
T10047,D0284,156.82,2023-08-24,Animal Welfare,Credit Card
T10828,D0120,277.5,2023-03-18,Health,Credit Card
T11597,D0150,26.55,2024-10-01,Education,Debit Card
T11793,D0149,238.03,2023-10-26,Animal Welfare,UPI
T11268,D0146,193.27,2023-12-30,Disaster Relief,Net Banking
T10286,D0253,135.32,2023-04-29,Education,Credit Card
T11178,D0086,296.28,2024-12-03,Disaster Relief,Net Banking
T10749,D0138,205.76,2023-11-27,Disaster Relief,Debit Card
T10516,D0076,104.47,2024-11-28,Health,UPI
T10565,D0042,188.28,2024-06-22,Environment,Debit Card
T11831,D0146,194.2,2024-04-12,Animal Welfare,Debit Card
T11827,D0161,701.48,2023-05-07,Environment,UPI
T10492,D0202,74.97,2024-06-01,Environment,Credit Card
T11068,D0108,97.58,2024-10-01,Disaster Relief,Debit Card
T11094,D0213,62.45,2024-07-10,Animal Welfare,Net Banking
T10813,D0289,517.26,2023-11-08,Animal Welfare,Credit Card
T11076,D0032,107.01,2024-12-08,Disaster Relief,Credit Card
T10881,D0114,232.88,2024-10-16,Animal Welfare,UPI
T10982,D0250,32.54,2023-12-07,Health,Debit Card
T10546,D0172,34.11,2023-10-19,Environment,Net Banking
T11747,D0076,70.17,2023-12-28,Disaster Relief,Net Banking
T10972,D0172,273.78,2024-11-01,Education,Credit Card
T11679,D0155,247.46,2023-12-23,Environment,UPI
T10007,D0143,412.25,2023-06-09,Health,Debit Card
T11302,D0146,20.67,2024-10-26,Animal Welfare,Debit Card
T10761,D0005,84.71,2023-01-09,Disaster Relief,UPI
T11110,D0038,348.38,2023-02-25,Health,Debit Card
T10580,D0042,132.92,2024-11-30,Animal Welfare,Credit Card
T10450,D0096,310.25,2024-05-26,Animal Welfare,Net Banking
T11881,D0297,423.22,2023-04-08,Animal Welfare,Debit Card
T11326,D0298,50.21,2024-12-08,Environment,Credit Card
T11557,D0167,115.88,2024-07-22,Education,Net Banking
T10188,D0028,160.86,2024-07-20,Disaster Relief,Credit Card
T10619,D0118,285.87,2024-01-24,Animal Welfare,Credit Card
T11744,D0235,117.62,2023-11-08,Animal Welfare,Credit Card
T11501,D0004,140.47,2023-04-27,Disaster Relief,Debit Card
T10947,D0091,470.55,2024-04-30,,Debit Card
T10026,D0186,54.55,2023-08-13,Health,Net Banking
T11680,D0286,94.96,2023-08-30,Health,UPI
T10199,D0051,312.71,2023-08-01,Health,Debit Card
T10281,D0056,92.5,2024-11-22,Health,Net Banking
T11552,D0247,352.06,2024-01-29,Education,Debit Card
T11999,D0115,76.31,2024-10-25,Health,Net Banking
T10640,D0170,14.06,2024-08-02,Education,UPI
T10257,D0088,248.17,2023-06-29,Education,Net Banking
T10900,D0026,56.61,2024-02-07,Animal Welfare,Net Banking
T11410,D0103,56.09,2024-12-14,Animal Welfare,Debit Card
T11803,D0068,80.35,2023-01-18,Environment,Debit Card
T11735,D0056,445.37,2023-06-18,Disaster Relief,UPI
T11892,D0078,331.96,2024-12-02,Disaster Relief,Net Banking
T10696,D0267,78.11,2024-05-09,Disaster Relief,Net Banking
T10484,D0067,185.57,2024-01-15,Animal Welfare,UPI
T10725,D0017,378.82,2023-10-09,Health,Debit Card
T10043,D0109,490.08,2024-07-06,Health,Debit Card
T10949,D0146,191.97,2023-01-29,Environment,UPI
T11670,D0284,105.81,2023-06-18,Environment,Credit Card
T11287,D0281,96.35,2024-03-31,Health,Credit Card
T10658,D0003,217.64,2023-11-12,Environment,Debit Card
T10081,D0279,205.26,2024-12-21,Disaster Relief,UPI
T10697,D0050,184.09,2024-03-24,Environment,Debit Card
T10237,D0153,14.92,2024-08-24,Animal Welfare,Net Banking
T10890,D0052,266.22,2024-05-05,Animal Welfare,Credit Card
T11772,D0084,455.28,2024-03-10,Environment,Credit Card
T10654,D0044,123.01,2024-09-25,Disaster Relief,Credit Card
T11840,D0063,103.1,2023-08-27,Environment,Net Banking
T10210,D0207,169.14,2023-10-06,Animal Welfare,Net Banking
