donor_id,recency,frequency,total_amount,avg_amount
D0095,44,10,2596.56,259.656
D0096,50,5,1650.6399999999999,330.128
D0097,200,6,1063.86,177.30999999999997
D0098,117,7,785.79,112.25571428571428
D0099,442,4,380.93999999999994,95.23499999999999
D0100,228,5,1382.8200000000002,276.564
D0101,171,4,677.36,169.34
D0102,107,4,316.58,79.145
D0103,17,6,489.49,81.58166666666666
D0104,24,3,614.24,204.74666666666667
D0105,171,2,899.1400000000001,449.57000000000005
D0106,175,7,1830.42,261.48857142857145
D0107,20,5,1867.98,373.596
D0108,91,8,1462.47,182.80875
D0109,178,4,1571.02,392.755
D0110,178,3,568.78,189.59333333333333
D0111,125,7,977.49,139.64142857142858
D0112,97,8,1628.67,203.58375
D0113,79,8,1530.32,191.29
D0114,67,6,1158.14,193.02333333333334
D0115,49,7,1248.06,178.2942857142857
D0116,20,8,1672.54,209.0675
D0117,409,3,278.7,92.89999999999999
D0118,237,6,653.94,108.99000000000001
D0119,27,6,1222.6399999999999,203.7733333333333
D0120,114,7,1673.01,239.00142857142856
D0121,67,6,1420.6200000000001,236.77
D0122,1,6,1348.26,224.71
D0123,60,7,1966.47,280.9242857142857
D0124,150,5,543.17,108.63399999999999
D0125,202,5,1242.8600000000001,248.57200000000003
D0126,187,4,1064.77,266.1925
D0127,6,6,615.68,102.61333333333333
D0128,48,7,1518.28,216.89714285714285
D0129,388,7,1757.97,251.13857142857142
D0130,56,5,794.61,158.922
D0131,48,6,1292.6599999999999,215.4433333333333
D0132,27,4,1284.19,321.0475
D0133,87,9,956.96,106.3288888888889
D0134,60,8,1648.8999999999999,206.11249999999998
D0135,89,6,1760.54,293.42333333333335
D0136,59,6,959.38,159.89666666666668
D0137,111,7,973.14,139.02
D0138,77,10,1891.27,189.127
D0139,523,6,1835.8600000000001,305.9766666666667
D0140,194,10,1832.5,183.25
D0141,297,6,678.34,113.05666666666667
D0142,34,6,1249.3899999999999,208.23166666666665
D0143,10,9,1705.3500000000001,189.48333333333335
D0144,227,3,743.84,247.9466666666667
D0145,11,6,1182.17,197.02833333333334
D0146,66,10,2169.12,216.91199999999998
D0147,31,3,270.13,90.04333333333334
D0148,37,5,1715.68,343.136
D0149,43,7,1695.66,242.23714285714286
D0150,21,7,1424.83,203.54714285714286
D0151,252,4,1243.19,310.7975
D0152,220,7,825.4200000000001,117.91714285714286
D0153,30,7,937.86,133.98
D0154,18,11,2285.06,207.73272727272726
D0155,37,12,2573.2400000000002,214.4366666666667
D0156,9,5,987.84,197.568
D0157,148,4,1390.77,347.6925
D0158,221,4,638.95,159.7375
D0159,250,4,1644.12,411.03
D0160,23,5,962.6099999999999,192.522
D0161,141,6,1268.31,211.385
D0162,25,10,1920.79,192.079
D0163,2,8,1384.72,173.09
D0164,307,4,558.88,139.72
D0165,204,3,1805.94,601.98
D0166,10,9,2150.94,238.99333333333334
D0167,148,6,1499.04,249.84
D0168,103,7,2225.68,317.9542857142857
D0169,99,5,887.35,177.47
D0170,151,8,688.61,86.07625
D0171,32,5,655.48,131.096
D0172,60,4,689.54,172.385
D0173,36,4,1751.27,437.8175
D0174,122,8,1060.1200000000001,132.51500000000001
D0175,111,8,2263.09,282.88625
D0176,32,5,1236.95,247.39000000000001
D0177,122,12,2099.25,174.9375
D0178,30,6,627.98,104.66333333333334
D0179,112,2,962.53,481.265
D0180,35,4,996.95,249.2375
D0181,101,9,1612.19,179.13222222222223
D0182,110,5,819.48,163.89600000000002
D0183,4,4,539.47,134.8675
D0184,125,10,2187.0,218.7
D0185,9,11,2551.89,231.98999999999998
D0186,29,8,2680.14,335.0175
D0187,257,8,2515.19,314.39875
D0188,16,6,1647.0900000000001,274.51500000000004
D0189,199,6,1122.3700000000001,187.0616666666667
D0190,44,10,1445.97,144.597
D0191,230,5,832.3299999999999,166.46599999999998
D0192,206,5,624.86,124.97200000000001
D0193,60,6,1213.02,202.17
D0194,41,8,1821.69,227.71125
D0195,2,4,659.25,164.8125
D0196,82,13,2701.16,207.78153846153845
D0197,5,8,2182.77,272.84625
D0198,51,5,497.65999999999997,99.532
D0199,54,3,328.32,109.44
D0200,41,7,1806.8799999999999,258.12571428571425
D0201,129,6,1348.1999999999998,224.69999999999996
D0202,28,5,956.44,191.288
D0203,148,7,985.33,140.76142857142858
D0204,65,9,2825.98,313.9977777777778
D0205,41,5,508.69,101.738
D0206,167,3,477.64,159.21333333333334
D0207,54,6,1306.16,217.69333333333336
D0208,169,6,1490.98,248.49666666666667
D0209,444,2,146.66,73.33
D0210,205,6,520.78,86.79666666666667
D0211,138,6,920.36,153.39333333333335
D0212,165,8,1707.26,213.4075
D0213,12,9,2016.1799999999998,224.01999999999998
D0214,20,6,1065.39,177.56500000000003
D0215,227,8,2186.46,273.3075
D0216,472,1,64.77,64.77
D0217,17,9,1954.24,217.13777777777779
D0218,24,8,1189.74,148.7175
D0219,63,6,1497.6299999999999,249.605
D0220,156,4,893.47,223.3675
D0221,196,9,2103.8,233.7555555555556
D0222,11,7,973.4599999999999,139.06571428571428
D0223,27,6,833.48,138.91333333333333
D0224,127,3,270.51,90.17
D0225,340,8,986.1,123.2625
D0226,41,5,1297.4199999999998,259.484
D0227,59,9,2649.17,294.3522222222222
D0228,144,8,1161.8999999999999,145.23749999999998
D0229,14,10,1191.6599999999999,119.16599999999998
D0230,175,4,1169.87,292.4675
D0231,81,8,767.1700000000001,95.89625000000001
D0232,95,4,1346.3,336.575
D0233,19,13,2854.55,219.58076923076925
D0234,84,8,1616.47,202.05875
D0235,11,9,2204.21,244.91222222222223
D0236,6,8,696.23,87.02875
D0237,5,6,1326.3500000000001,221.05833333333337
D0238,84,5,965.24,193.048
D0239,34,5,1449.88,289.976
D0240,76,2,344.98,172.49
D0241,4,5,914.4,182.88
D0242,188,4,956.67,239.1675
D0243,12,9,1726.48,191.8311111111111
D0244,35,8,2031.62,253.9525
D0245,136,4,2310.4,577.6
D0246,45,9,2688.54,298.7266666666667
D0247,55,6,1087.6599999999999,181.27666666666664
D0248,25,7,807.1600000000001,115.30857142857144
D0249,7,11,1843.28,167.57090909090908
D0250,57,11,1659.8400000000001,150.89454545454547
D0251,73,7,1164.04,166.29142857142855
D0252,184,8,2687.3399999999997,335.91749999999996
D0253,158,4,657.88,164.47
D0254,308,2,422.61,211.305
D0255,61,8,2798.5699999999997,349.82124999999996
D0256,36,11,1550.16,140.92363636363638
D0257,104,7,2056.62,293.80285714285714
D0258,16,5,1446.38,289.276
D0259,69,4,669.26,167.315
D0260,209,4,583.7800000000001,145.94500000000002
D0261,155,6,1308.55,218.09166666666667
D0262,246,3,329.08,109.69333333333333
D0263,35,7,2065.9100000000003,295.13000000000005
D0264,40,5,471.75,94.35
D0265,268,2,471.18,235.59
D0266,109,5,1128.02,225.60399999999998
D0267,56,12,1452.25,121.02083333333333
D0268,214,4,417.69,104.4225
D0269,6,7,2139.56,305.65142857142854
D0270,142,4,1200.06,300.015
D0271,473,3,557.74,185.91333333333333
D0272,208,4,1078.0700000000002,269.51750000000004
D0273,78,7,1869.5700000000002,267.0814285714286
D0274,137,6,984.86,164.14333333333335
D0275,27,10,2442.02,244.202
D0276,50,6,744.4300000000001,124.07166666666667
D0277,152,8,1526.65,190.83125
D0278,17,7,843.95,120.56428571428572
D0279,10,8,1419.55,177.44375
D0280,230,4,953.3299999999999,238.33249999999998
D0281,139,6,655.5,109.25
D0282,102,5,1496.52,299.304
D0283,243,2,532.64,266.32
D0284,83,16,2842.52,177.6575
D0285,57,9,1427.04,158.56
D0286,36,10,1737.25,173.725
D0287,9,5,526.09,105.218
D0288,1,6,1452.79,242.13166666666666
D0289,51,7,2322.44,331.77714285714285
D0290,36,7,1162.38,166.05428571428573
D0291,103,6,485.84,80.97333333333333
D0292,35,5,941.59,188.318
D0293,110,8,2303.66,287.9575
D0294,13,9,1611.23,179.02555555555557
D0295,214,5,854.5,170.9
D0296,88,7,1614.72,230.67428571428573
D0297,362,4,757.71,189.4275
D0298,23,5,946.6800000000001,189.336
D0299,136,6,1165.6499999999999,194.27499999999998
D0300,18,5,1508.8200000000002,301.764
